,Date,nConfirmed,nDeaths,nRecoveries
1,1.22.20,0,0,0
2,1.23.20,0,0,0
3,1.24.20,0,0,0
4,1.25.20,0,0,0
5,1.26.20,0,0,0
6,1.27.20,0,0,0
7,1.28.20,0,0,0
8,1.29.20,0,0,0
9,1.30.20,1,0,0
10,1.31.20,1,0,0
11,2.1.20,1,0,0
12,2.2.20,2,0,0
13,2.10.20,3,0,0
14,2.11.20,3,0,0
15,2.12.20,3,0,0
16,2.13.20,3,0,0
17,2.14.20,3,0,0
18,2.15.20,3,0,0
19,2.16.20,3,0,0
20,2.17.20,3,0,0
21,2.18.20,3,0,0
22,2.19.20,3,0,0
23,2.20.20,3,0,0
24,2.21.20,3,0,0
25,2.22.20,3,0,0
26,2.23.20,3,0,3
27,2.24.20,3,0,3
28,2.25.20,3,0,3
29,2.26.20,3,0,3
30,2.27.20,3,0,3
31,2.28.20,3,0,3
32,2.29.20,3,0,3
33,2.3.20,3,0,3
34,2.4.20,3,0,3
35,2.5.20,3,0,3
36,2.6.20,3,0,3
37,2.7.20,3,0,3
38,2.8.20,3,0,3
39,2.9.20,3,0,3
40,3.1.20,3,0,3
41,3.2.20,5,0,3
42,3.3.20,5,0,3
43,3.4.20,28,0,3
44,3.5.20,30,0,3
45,3.6.20,31,0,3
46,3.7.20,34,0,3
47,3.8.20,39,0,3
48,3.9.20,43,0,3
49,3.10.20,56,0,4
50,3.11.20,62,1,4
51,3.12.20,73,1,4
52,3.13.20,82,2,4
53,3.14.20,102,2,4
54,3.15.20,113,2,13
55,3.16.20,119,2,13
56,3.17.20,142,3,14
57,3.18.20,156,3,14
58,3.19.20,194,4,15
59,3.20.20,244,4,20
60,3.21.20,330,5,23
61,3.22.20,396,7,27
62,3.23.20,499,10,27
63,3.24.20,536,10,40
64,3.25.20,657,12,43
65,3.26.20,727,20,45
66,3.27.20,887,20,73
67,3.28.20,987,24,84
68,3.29.20,1024,27,95
69,3.30.20,1251,32,102
70,3.31.20,1397,35,123
71,4.1.20,1998,58,148
72,4.2.20,2543,72,191
73,4.3.20,2567,72,192
74,4.4.20,3082,86,229
75,4.5.20,3588,99,229
76,4.6.20,4778,136,375
77,4.7.20,5311,150,421
78,4.8.20,5916,178,506
79,4.9.20,6725,226,620
80,4.10.20,7598,246,774
81,4.11.20,8446,288,969
82,4.12.20,9205,331,1080
83,4.13.20,10453,358,1181
84,4.14.20,11487,393,1359
85,4.15.20,12322,405,1432
86,4.16.20,13430,448,1768
87,4.17.20,14352,486,2041
88,4.18.20,15722,521,2463
89,4.19.20,17615,559,2854
90,4.20.20,18539,592,3273
91,4.21.20,20080,645,3975
92,4.22.20,21370,681,4370
93,4.23.20,23077,721,5012
94,4.24.20,24530,780,5498
95,4.25.20,26283,825,5939
96,4.26.20,27890,881,6523
97,4.27.20,29451,939,7137
98,4.28.20,31324,1008,7747
99,4.29.20,33062,1079,8437
100,4.30.20,34863,1154,9068
101,5.1.20,37257,1223,10007
102,5.2.20,39699,1323,10819
103,5.3.20,42505,1391,11775
104,5.4.20,46437,1566,12847
105,5.5.20,49400,1693,14142
106,5.6.20,52987,1785,15331
107,5.7.20,56351,1889,16776
108,5.8.20,59695,1985,17887
109,5.9.20,62808,2101,19301
110,5.10.20,67161,2212,20969
111,5.11.20,70768,2294,22549
112,5.12.20,74292,2415,24420
113,5.13.20,78055,2551,26400
114,5.14.20,81997,2649,27969
115,5.15.20,85784,2753,30258
116,5.16.20,90648,2871,34224
117,5.17.20,95698,3025,36795
118,5.18.20,100328,3156,39233
119,5.19.20,106475,3302,42309
120,5.20.20,112028,3434,45422
